"pathways","pathway_categories"
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","Metabolism of proteins"
"Antigen processing-Cross presentation","Immune System"
"Antiviral mechanism by IFN-stimulated genes","Immune System"
"APC/C-mediated degradation of cell cycle proteins","Cell Cycle"
"Apoptosis","Programmed Cell Death"
"Assembly of collagen fibrils and other multimeric structures","Extracellular matrix organization"
"Axon guidance","Developmental Biology"
"Cap-dependent Translation Initiation","Metabolism of proteins"
"Cell Cycle","Cell Cycle"
"Cell Cycle Checkpoints","Cell Cycle"
"Cell Cycle, Mitotic","Cell Cycle"
"Cellular response to heat stress","Cellular responses to stimuli"
"Cellular responses to external stimuli","Cellular responses to stimuli"
"Cellular responses to stress","Cellular responses to stimuli"
"Class A/1 (Rhodopsin-like receptors)","Signal Transduction"
"Collagen formation","Extracellular matrix organization"
"Cytokine Signaling in Immune system","Immune System"
"DDX58/IFIH1-mediated induction of interferon-alpha/beta","Immune System"
"Degradation of the extracellular matrix","Extracellular matrix organization"
"Developmental Biology","Developmental Biology"
"Disease","Disease"
"ECM proteoglycans","Extracellular matrix organization"
"Elastic fibre formation","Extracellular matrix organization"
"EPH-Ephrin signaling","Developmental Biology"
"Eukaryotic Translation Elongation","Metabolism of proteins"
"Eukaryotic Translation Initiation","Metabolism of proteins"
"Eukaryotic Translation Termination","Metabolism of proteins"
"Extracellular matrix organization","Extracellular matrix organization"
"Formation of a pool of free 40S subunits","Metabolism of proteins"
"Formation of the ternary complex, and subsequently, the 43S complex","Gene expression (Transcription)"
"FOXO-mediated transcription","Gene expression (Transcription)"
"G alpha (i) signalling events","Signal Transduction"
"Gene expression (Transcription)","Gene expression (Transcription)"
"Glucose metabolism","Metabolism"
"Glycolysis","Metabolism"
"GPCR downstream signalling","Signal Transduction"
"GPCR ligand binding","Signal Transduction"
"GTP hydrolysis and joining of the 60S ribosomal subunit","Metabolism of proteins"
"Immune System","Immune System"
"Infectious disease","Disease"
"Influenza Infection","Disease"
"Influenza Viral RNA Transcription and Replication","Disease"
"Innate Immune System","Immune System"
"Interferon alpha/beta signaling","Immune System"
"Interferon gamma signaling","Immune System"
"Interferon Signaling","Immune System"
"Interleukin-12 family signaling","Immune System"
"Interleukin-4 and Interleukin-13 signaling","Immune System"
"Intra-Golgi and retrograde Golgi-to-ER traffic","Vesicle-mediated transport"
"ISG15 antiviral mechanism","Immune System"
"L13a-mediated translational silencing of Ceruloplasmin expression","Metabolism of proteins"
"M Phase","Cell Cycle"
"Major pathway of rRNA processing in the nucleolus and cytosol","Metabolism of RNA"
"Metabolism","Metabolism"
"Metabolism of amino acids and derivatives","Metabolism"
"Metabolism of proteins","Metabolism of proteins"
"Metabolism of RNA","Metabolism of RNA"
"Metabolism of steroids","Metabolism"
"Mitotic Anaphase","Cell Cycle"
"Mitotic Metaphase and Anaphase","Cell Cycle"
"Molecules associated with elastic fibres","Extracellular matrix organization"
"mRNA Splicing","Metabolism of RNA"
"mRNA Splicing - Major Pathway","Metabolism of RNA"
"Muscle contraction","Muscle contraction"
"Nervous system development","Developmental Biology"
"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","Metabolism of RNA"
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","Metabolism of RNA"
"Nonsense-Mediated Decay (NMD)","Metabolism of RNA"
"Peptide chain elongation","Metabolism of proteins"
"Post-translational protein modification","Metabolism of proteins"
"Post-translational protein phosphorylation","Metabolism of proteins"
"Processing of Capped Intron-Containing Pre-mRNA","Metabolism of RNA"
"Programmed Cell Death","Programmed Cell Death"
"Regulation of expression of SLITs and ROBOs","Developmental Biology"
"Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","Metabolism of proteins"
"Regulation of mitotic cell cycle","Cell Cycle"
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","Metabolism"
"Response of EIF2AK4 (GCN2) to amino acid deficiency","Cellular responses to stimuli"
"RHO GTPase Effectors","Signal Transduction"
"Ribosomal scanning and start codon recognition","Metabolism of proteins"
"rRNA processing","Metabolism of RNA"
"rRNA processing in the nucleus and cytosol","Metabolism of RNA"
"Selenoamino acid metabolism","Metabolism"
"Selenocysteine synthesis","Metabolism"
"Separation of Sister Chromatids","Cell Cycle"
"Signal Transduction","Signal Transduction"
"Signaling by GPCR","Signal Transduction"
"Signaling by Interleukins","Immune System"
"Signaling by Receptor Tyrosine Kinases","Signal Transduction"
"Signaling by Rho GTPases","Signal Transduction"
"Signaling by ROBO receptors","Developmental Biology"
"SRP-dependent cotranslational protein targeting to membrane","Metabolism of proteins"
"TNFR2 non-canonical NF-kB pathway","Immune System"
"Translation","Metabolism of proteins"
"Translation initiation complex formation","Metabolism of proteins"
"Viral mRNA Translation","Disease"
